"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:40:10.668,1 Jan 2026 00:47:29.570,438.902
2,1 Jan 2026 12:44:29.357,1 Jan 2026 12:56:05.271,695.914
3,1 Jan 2026 14:24:04.987,1 Jan 2026 14:36:37.409,752.422
4,1 Jan 2026 16:06:54.063,1 Jan 2026 16:15:55.879,541.817
5,1 Jan 2026 17:51:31.137,1 Jan 2026 17:55:40.314,249.177
6,1 Jan 2026 19:32:12.322,1 Jan 2026 19:39:43.661,451.339
7,1 Jan 2026 21:11:24.627,1 Jan 2026 21:23:19.648,715.021
8,1 Jan 2026 22:51:25.727,1 Jan 2026 23:03:54.187,748.459

Statistics
"Min Duration",5,1 Jan 2026 17:51:31.137,1 Jan 2026 17:55:40.314,249.177
"Max Duration",3,1 Jan 2026 14:24:04.987,1 Jan 2026 14:36:37.409,752.422
"Mean Duration",,,,574.131
"Total Duration",,,,4593.052


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:05:22.061,1 Jan 2026 00:15:53.214,631.153
2,1 Jan 2026 12:12:17.340,1 Jan 2026 12:21:50.163,572.823
3,1 Jan 2026 13:50:29.630,1 Jan 2026 14:03:19.762,770.132
4,1 Jan 2026 15:32:18.280,1 Jan 2026 15:42:52.929,634.649
5,1 Jan 2026 17:16:43.987,1 Jan 2026 17:22:09.531,325.544
6,1 Jan 2026 18:59:03.883,1 Jan 2026 19:04:45.302,341.418
7,1 Jan 2026 20:38:18.690,1 Jan 2026 20:49:05.921,647.231
8,1 Jan 2026 22:17:54.845,1 Jan 2026 22:30:44.883,770.037
9,1 Jan 2026 23:59:36.770,2 Jan 2026 00:00:00.000,23.230

Statistics
"Min Duration",9,1 Jan 2026 23:59:36.770,2 Jan 2026 00:00:00.000,23.230
"Max Duration",3,1 Jan 2026 13:50:29.630,1 Jan 2026 14:03:19.762,770.132
"Mean Duration",,,,524.024
"Total Duration",,,,4716.217


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 11:41:23.538,1 Jan 2026 11:46:19.805,296.267
2,1 Jan 2026 13:17:16.642,1 Jan 2026 13:29:51.032,754.390
3,1 Jan 2026 14:58:01.458,1 Jan 2026 15:09:47.582,706.124
4,1 Jan 2026 16:41:45.354,1 Jan 2026 16:48:59.481,434.127
5,1 Jan 2026 18:25:37.814,1 Jan 2026 18:29:54.496,256.682
6,1 Jan 2026 20:05:15.546,1 Jan 2026 20:14:32.920,557.374
7,1 Jan 2026 21:44:35.762,1 Jan 2026 21:57:12.891,757.128
8,1 Jan 2026 23:25:14.943,1 Jan 2026 23:36:36.890,681.947

Statistics
"Min Duration",5,1 Jan 2026 18:25:37.814,1 Jan 2026 18:29:54.496,256.682
"Max Duration",7,1 Jan 2026 21:44:35.762,1 Jan 2026 21:57:12.891,757.128
"Mean Duration",,,,555.505
"Total Duration",,,,4444.039


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:13:05.225,1 Jan 2026 00:17:12.093,246.868
2,1 Jan 2026 01:53:39.090,1 Jan 2026 02:01:20.909,461.819
3,1 Jan 2026 03:32:52.010,1 Jan 2026 03:44:52.058,720.048
4,1 Jan 2026 05:12:56.099,1 Jan 2026 05:25:20.582,744.483
5,1 Jan 2026 06:57:50.169,1 Jan 2026 06:59:48.068,117.899
6,1 Jan 2026 18:59:09.887,1 Jan 2026 19:11:28.705,738.818
7,1 Jan 2026 20:39:30.506,1 Jan 2026 20:51:36.591,726.085
8,1 Jan 2026 22:22:55.415,1 Jan 2026 22:30:50.065,474.650

Statistics
"Min Duration",5,1 Jan 2026 06:57:50.169,1 Jan 2026 06:59:48.068,117.899
"Max Duration",4,1 Jan 2026 05:12:56.099,1 Jan 2026 05:25:20.582,744.483
"Mean Duration",,,,528.834
"Total Duration",,,,4230.671


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 01:20:31.333,1 Jan 2026 01:26:22.999,351.667
2,1 Jan 2026 02:59:45.629,1 Jan 2026 03:10:40.159,654.531
3,1 Jan 2026 04:39:23.827,1 Jan 2026 04:52:13.445,769.619
4,1 Jan 2026 06:21:13.810,1 Jan 2026 06:30:00.446,526.637
5,1 Jan 2026 18:26:33.669,1 Jan 2026 18:37:34.290,660.621
6,1 Jan 2026 20:05:41.608,1 Jan 2026 20:18:23.995,762.387
7,1 Jan 2026 21:48:09.181,1 Jan 2026 21:57:47.066,577.885
8,1 Jan 2026 23:32:47.096,1 Jan 2026 23:37:17.768,270.672

Statistics
"Min Duration",8,1 Jan 2026 23:32:47.096,1 Jan 2026 23:37:17.768,270.672
"Max Duration",3,1 Jan 2026 04:39:23.827,1 Jan 2026 04:52:13.445,769.619
"Mean Duration",,,,571.752
"Total Duration",,,,4574.019


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:47:07.555,1 Jan 2026 00:51:30.559,263.005
2,1 Jan 2026 02:26:42.254,1 Jan 2026 02:36:08.847,566.593
3,1 Jan 2026 04:06:03.804,1 Jan 2026 04:18:43.408,759.605
4,1 Jan 2026 05:46:47.541,1 Jan 2026 05:58:00.534,672.993
5,1 Jan 2026 17:54:40.438,1 Jan 2026 18:03:01.759,501.321
6,1 Jan 2026 19:32:14.139,1 Jan 2026 19:45:02.782,768.644
7,1 Jan 2026 21:13:40.040,1 Jan 2026 21:24:43.476,663.435
8,1 Jan 2026 22:57:52.729,1 Jan 2026 23:03:56.883,364.154

Statistics
"Min Duration",1,1 Jan 2026 00:47:07.555,1 Jan 2026 00:51:30.559,263.005
"Max Duration",6,1 Jan 2026 19:32:14.139,1 Jan 2026 19:45:02.782,768.644
"Mean Duration",,,,569.969
"Total Duration",,,,4559.750


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 01:20:35.048,1 Jan 2026 01:32:58.256,743.208
2,1 Jan 2026 03:01:01.667,1 Jan 2026 03:13:03.167,721.500
3,1 Jan 2026 04:44:31.252,1 Jan 2026 04:52:16.194,464.942
4,1 Jan 2026 06:28:41.497,1 Jan 2026 06:32:47.883,246.386
5,1 Jan 2026 08:08:32.238,1 Jan 2026 08:17:22.425,530.187
6,1 Jan 2026 09:47:49.703,1 Jan 2026 10:00:18.166,748.463
7,1 Jan 2026 11:28:16.931,1 Jan 2026 11:40:02.387,705.455
8,1 Jan 2026 23:37:15.573,1 Jan 2026 23:43:58.649,403.076

Statistics
"Min Duration",4,1 Jan 2026 06:28:41.497,1 Jan 2026 06:32:47.883,246.386
"Max Duration",6,1 Jan 2026 09:47:49.703,1 Jan 2026 10:00:18.166,748.463
"Mean Duration",,,,570.402
